status,shortlong,forceIndex,trend2min,trend5min,trend10min,trend15min,buildDate
LOSS,VENDIDO,165,-85,-55,-190,-125,1565812740000
GAIN,COMPRADO,515,-60,365,0,0,1565870640000
GAIN,VENDIDO,115,-10,-75,-25,-150,1565870940000
LOSS,VENDIDO,105,-30,-20,-110,-105,1565871840000
LOSS,VENDIDO,125,-10,-115,-180,-30,1565873040000
GAIN,COMPRADO,220,-85,-10,205,115,1565873340000
GAIN,VENDIDO,230,30,-65,-80,-230,1565875440000
GAIN,VENDIDO,340,-40,5,-355,-420,1565875740000
GAIN,VENDIDO,715,-50,-220,-615,-655,1565876340000
LOSS,VENDIDO,95,35,160,80,-305,1565876640000
GAIN,COMPRADO,240,30,140,245,440,1565876940000
GAIN,COMPRADO,115,175,230,110,205,1565877240000
GAIN,VENDIDO,105,-70,-145,-50,-85,1565877840000
GAIN,COMPRADO,120,-10,-60,160,140,1565878440000
GAIN,VENDIDO,115,-145,-125,-100,-100,1565879340000
GAIN,VENDIDO,130,-45,-85,-155,-130,1565879940000
GAIN,COMPRADO,135,100,40,135,25,1565880240000
LOSS,COMPRADO,135,30,40,60,90,1565880840000
GAIN,VENDIDO,115,-20,-55,-140,-95,1565881140000
GAIN,COMPRADO,85,95,160,200,50,1565882640000
GAIN,COMPRADO,110,25,50,100,130,1565882940000
GAIN,COMPRADO,255,105,140,195,265,1565884740000
GAIN,COMPRADO,95,10,35,115,185,1565885040000
GAIN,VENDIDO,120,-5,10,-55,-120,1565886540000
GAIN,VENDIDO,205,10,-105,-25,-265,1565888640000
GAIN,COMPRADO,80,-15,-20,70,95,1565889540000
GAIN,VENDIDO,180,-75,-5,-225,-205,1565890740000
GAIN,VENDIDO,165,5,-180,-160,-378,1565891040000
GAIN,VENDIDO,580,40,-565,-720,-720,1565891340000
GAIN,VENDIDO,125,115,25,40,-710,1565891640000
GAIN,VENDIDO,345,-145,-375,-290,-520,1565891940000
GAIN,COMPRADO,100,-100,0,130,225,1565893440000
GAIN,COMPRADO,115,80,15,115,165,1565894040000
LOSS,VENDIDO,100,30,-25,-130,-85,1565894340000
GAIN,COMPRADO,90,0,25,-30,15,1565894640000
GAIN,COMPRADO,120,85,130,140,270,1565895540000
LOSS,COMPRADO,430,160,290,375,525,1565895840000
GAIN,VENDIDO,105,-60,-15,20,-145,1565896440000
GAIN,VENDIDO,80,-30,-60,-140,-110,1565896740000
GAIN,VENDIDO,90,-25,-50,-80,-130,1565897040000
GAIN,VENDIDO,135,-105,-145,-115,-155,1565899140000
LOSS,VENDIDO,85,-55,-70,-70,-95,1565900040000
GAIN,VENDIDO,110,-5,-20,-25,-110,1565901240000
LOSS,COMPRADO,280,90,115,170,277,1565902140000
LOSS,VENDIDO,167,-30,-120,-125,0,1565957040000
GAIN,COMPRADO,110,5,45,90,140,1565957640000
GAIN,COMPRADO,115,-10,-45,-35,-70,1565958540000
GAIN,COMPRADO,275,10,240,305,330,1565960640000
GAIN,VENDIDO,405,-185,-300,-395,-385,1565961240000
GAIN,VENDIDO,100,-75,-95,-65,-190,1565961840000
GAIN,COMPRADO,250,135,210,280,235,1565962440000
GAIN,VENDIDO,585,-265,-555,-560,-510,1565963040000
LOSS,COMPRADO,90,130,210,-295,-525,1565963340000
GAIN,VENDIDO,110,-95,-75,-60,-185,1565964240000
LOSS,VENDIDO,115,-30,-50,-255,-290,1565964540000
GAIN,VENDIDO,160,-10,-120,-180,-90,1565965140000
GAIN,COMPRADO,430,80,-165,405,300,1565965440000
LOSS,VENDIDO,360,-170,-400,-405,90,1565965740000
LOSS,VENDIDO,150,-190,-165,-240,-245,1565966340000
GAIN,COMPRADO,175,-35,40,-10,65,1565966640000
GAIN,COMPRADO,285,-30,245,280,365,1565966940000
GAIN,COMPRADO,400,165,195,395,360,1565967540000
GAIN,VENDIDO,210,-15,-60,-290,-290,1565968140000
GAIN,VENDIDO,110,-105,-145,-145,-130,1565968440000
GAIN,COMPRADO,85,20,30,-25,170,1565969040000
GAIN,VENDIDO,110,-50,-85,-80,20,1565969940000
GAIN,COMPRADO,105,70,85,120,45,1565970240000
GAIN,COMPRADO,140,15,60,90,110,1565973240000
GAIN,COMPRADO,80,-30,35,85,85,1565975940000
GAIN,VENDIDO,160,-15,-55,-115,-95,1565977440000
GAIN,VENDIDO,150,-30,-100,-160,-120,1565980440000
